Introducing contestants...
* Player 1, weighing 617 bytes, helltrain (choo-choo, motherf*****s !) !
P    1 | sti r1 391 1
P    1 | sti r1 399 1
P    1 | sti r1 400 1
P    1 | sti r1 87 1
P    1 | sti r1 397 1
P    1 | sti r1 390 9
P    1 | sti r1 383 17
P    1 | sti r1 421 1
P    1 | sti r1 393 2
P    1 | sti r1 461 1
P    1 | sti r1 454 9
P    1 | sti r1 408 1
P    1 | ld 0 r16
P    1 | fork 323 (414)
P    1 | ld 0 r2
P    2 | live -1
P    1 | ld 0 r16
P    1 | live -1
P    1 | st r2 -24
P    2 | zjmp 3 OK
P    1 | st r2 -33
P    1 | st r2 -42
P    1 | st r2 -51
P    1 | st r2 -60
P    1 | st r2 -69
P    1 | st r2 -78
P    1 | st r2 -87
P    1 | st r2 -96
P    1 | st r2 -105
P    1 | st r2 -114
P    1 | st r2 -123
P    1 | st r2 -132
P    1 | st r2 -141
P    1 | st r2 -150
P    1 | st r2 -159
P    1 | st r2 -168
P    1 | st r2 -177
P    1 | st r2 -186
P    1 | st r2 -195
P    1 | st r2 -204
P    1 | st r2 -213
P    1 | st r2 -222
P    1 | st r2 -231
P    1 | st r2 -240
P    1 | st r2 -249
P    1 | st r2 -258
P    1 | st r2 -267
P    1 | st r2 -276
P    1 | st r2 -285
P    1 | st r2 -294
P    1 | st r2 -303
P    1 | st r2 -312
P    1 | st r2 -321
P    1 | st r2 -330
P    1 | st r2 -339
P    1 | st r2 -348
P    1 | st r2 -357
P    1 | st r2 -366
P    1 | st r2 -375
P    1 | st r2 -384
P    1 | st r2 -393
P    1 | st r2 -402
P    1 | st r2 -411
P    1 | st r2 -420
P    1 | st r2 -429
P    1 | st r2 -438
P    1 | st r2 -447
P    1 | st r2 -456
P    1 | st r2 -465
P    1 | st r2 -474
P    1 | st r2 -483
P    1 | st r2 -492
P    1 | st r2 -501
P    1 | st r2 -510
P    1 | zjmp -280 OK
P    1 | live -1
P    1 | st r2 -24
P    1 | st r2 -33
P    1 | st r2 -42
P    1 | st r2 -51
P    1 | st r2 -60
P    1 | st r2 -69
P    1 | st r2 -78
P    1 | st r2 -87
P    1 | st r2 -96
P    1 | st r2 -105
P    1 | st r2 -114
P    1 | st r2 -123
P    1 | st r2 -132
P    1 | st r2 -141
P    1 | st r2 -150
P    1 | st r2 -159
P    1 | st r2 -168
P    1 | st r2 -177
P    1 | st r2 -186
P    1 | st r2 -195
P    1 | st r2 -204
P    1 | st r2 -213
P    1 | st r2 -222
P    1 | st r2 -231
P    1 | st r2 -240
P    1 | st r2 -249
P    1 | st r2 -258
P    1 | st r2 -267
P    1 | st r2 -276
P    1 | st r2 -285
P    1 | st r2 -294
P    1 | st r2 -303
P    1 | st r2 -312
P    1 | st r2 -321
P    1 | st r2 -330
P    1 | st r2 -339
P    1 | st r2 -348
P    1 | st r2 -357
P    1 | st r2 -366
P    1 | st r2 -375
P    1 | st r2 -384
P    1 | st r2 -393
P    1 | st r2 -402
P    1 | st r2 -411
P    1 | st r2 -420
P    1 | st r2 -429
P    1 | st r2 -438
P    1 | st r2 -447
P    1 | st r2 -456
P    1 | st r2 -465
P    1 | st r2 -474
P    1 | st r2 -483
P    1 | st r2 -492
P    1 | st r2 -501
P    1 | st r2 -510
P    1 | zjmp -280 OK
P    1 | live -1
P    1 | st r2 -24
P    1 | st r2 -33
P    1 | st r2 -42
P    1 | st r2 -51
P    1 | st r2 -60
P    1 | st r2 -69
P    1 | st r2 -78
P    1 | st r2 -87
P    1 | st r2 -96
P    1 | st r2 -105
P    1 | st r2 -114
P    1 | st r2 -123
P    1 | st r2 -132
P    1 | st r2 -141
P    2 | fork -8 (414)
P    1 | st r2 -150
